commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Cobalt,indicated,tonnage,684852.0,%,0.136,,,,Massive Sulphide Domain
Gold,indicated,tonnage,684852.0,g/t,0.340,,,,Massive Sulphide Domain
Platinum,indicated,tonnage,684852.0,g/t,1.378,,,,Massive Sulphide Domain
Palladium,indicated,tonnage,684852.0,g/t,3.925,,,,Massive Sulphide Domain
Nickel,inferred,tonnage,9907.0,%,3.442,,,,Massive Sulphide Domain
Copper,inferred,tonnage,9907.0,%,2.891,,,,Massive Sulphide Domain
Cobalt,inferred,tonnage,9907.0,%,0.144,,,,Massive Sulphide Domain
Gold,inferred,tonnage,9907.0,g/t,0.252,,,,Massive Sulphide Domain
Platinum,inferred,tonnage,9907.0,g/t,0.888,,,,Massive Sulphide Domain
Palladium,inferred,tonnage,9907.0,g/t,5.456,,,,Massive Sulphide Domain
Nickel,indicated,tonnage,220398.0,%,3.319,,,,Oxidized Massive Sulphide Domain
Copper,indicated,tonnage,220398.0,%,6.106,,,,Oxidized Massive Sulphide Domain
Cobalt,indicated,tonnage,220398.0,%,0.128,,,,Oxidized Massive Sulphide Domain
Gold,indicated,tonnage,220398.0,g/t,0.419,,,,Oxidized Massive Sulphide Domain
Platinum,indicated,tonnage,220398.0,g/t,2.011,,,,Oxidized Massive Sulphide Domain
Palladium,indicated,tonnage,220398.0,g/t,3.144,,,,Oxidized Massive Sulphide Domain
Nickel,inferred,tonnage,515.0,%,2.805,,,,Oxidized Massive Sulphide Domain
Copper,inferred,tonnage,515.0,%,3.379,,,,Oxidized Massive Sulphide Domain
Cobalt,inferred,tonnage,515.0,%,0.110,,,,Oxidized Massive Sulphide Domain
Gold,inferred,tonnage,515.0,g/t,0.127,,,,Oxidized Massive Sulphide Domain
Platinum,inferred,tonnage,515.0,g/t,1.104,,,,Oxidized Massive Sulphide Domain
Palladium,inferred,tonnage,515.0,g/t,6.013,,,,Oxidized Massive Sulphide Domain
Nickel,indicated,tonnage,1104271.0,%,0.857,,,,Net Textured Sulphide Domain
Copper,indicated,tonnage,1104271.0,%,1.214,,,,Net Textured Sulphide Domain
Cobalt,indicated,tonnage,1104271.0,%,0.038,,,,Net Textured Sulphide Domain
Gold,indicated,tonnage,1104271.0,g/t,0.094,,,,Net Textured Sulphide Domain
Platinum,indicated,tonnage,1104271.0,g/t,0.572,,,,Net Textured Sulphide Domain
Palladium,indicated,tonnage,1104271.0,g/t,3.677,,,,Net Textured Sulphide Domain
Nickel,inferred,tonnage,17306.0,%,0.697,,,,Net Textured Sulphide Domain
Copper,inferred,tonnage,17306.0,%,1.300,,,,Net Textured Sulphide Domain
Cobalt,inferred,tonnage,17306.0,%,0.040,,,,Net Textured Sulphide Domain
Gold,inferred,tonnage,17306.0,g/t,0.115,,,,Net Textured Sulphide Domain
Platinum,inferred,tonnage,17306.0,g/t,0.449,,,,Net Textured Sulphide Domain
Palladium,inferred,tonnage,17306.0,g/t,2.709,,,,Net Textured Sulphide Domain
Nickel,indicated,tonnage,208284.0,%,0.811,,,,Oxidized Net Textured Sulphide Domain
Copper,indicated,tonnage,208284.0,%,1.051,,,,Oxidized Net Textured Sulphide Domain
Cobalt,indicated,tonnage,208284.0,%,0.036,,,,Oxidized Net Textured Sulphide Domain
Gold,indicated,tonnage,208284.0,g/t,0.073,,,,Oxidized Net Textured Sulphide Domain
Platinum,indicated,tonnage,208284.0,g/t,0.607,,,,Oxidized Net Textured Sulphide Domain
Palladium,indicated,tonnage,208284.0,g/t,2.953,,,,Oxidized Net Textured Sulphide Domain
Nickel,inferred,tonnage,3410.0,%,0.694,,,,Oxidized Net Textured Sulphide Domain
Copper,inferred,tonnage,3410.0,%,0.764,,,,Oxidized Net Textured Sulphide Domain
Cobalt,inferred,tonnage,3410.0,%,0.034,,,,Oxidized Net Textured Sulphide Domain
Gold,inferred,tonnage,3410.0,g/t,0.057,,,,Oxidized Net Textured Sulphide Domain
Platinum,inferred,tonnage,3410.0,g/t,0.478,,,,Oxidized Net Textured Sulphide Domain
Palladium,inferred,tonnage,3410.0,g/t,2.087,,,,Oxidized Net Textured Sulphide Domain
Nickel,indicated,tonnage,2217804.0,%,1.891,,,,All Domains
Copper,indicated,tonnage,2217804.0,%,2.570,,,,All Domains
Cobalt,indicated,tonnage,2217804.0,%,0.077,,,,All Domains
Gold,indicated,tonnage,2217804.0,g/t,0.200,,,,All Domains
Platinum,indicated,tonnage,2217804.0,g/t,0.967,,,,All Domains
Palladium,indicated,tonnage,2217804.0,g/t,3.632,,,,All Domains
Nickel,inferred,tonnage,31137.0,%,1.605,,,,All Domains
Copper,inferred,tonnage,31137.0,%,1.782,,,,All Domains
Cobalt,inferred,tonnage,31137.0,%,0.074,,,,All Domains
Gold,inferred,tonnage,31137.0,g/t,0.152,,,,All Domains
Platinum,inferred,tonnage,31137.0,g/t,0.603,,,,All Domains
Palladium,inferred,tonnage,31137.0,g/t,3.570,,,,All Domains
Nickel,inferred,tonnes,30000.0,%,2.43,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Copper,inferred,tonnes,30000.0,%,1.51,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Cobalt,inferred,tonnes,30000.0,%,0.12,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Gold,inferred,tonnes,30000.0,g/t,0.06,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Platinum,inferred,tonnes,30000.0,g/t,0.83,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Palladium,inferred,tonnes,30000.0,g/t,2.85,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Nickel,indicated,tonnes,701000.0,%,2.71,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Copper,indicated,tonnes,701000.0,%,2.13,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Cobalt,indicated,tonnes,701000.0,%,0.13,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Gold,indicated,tonnes,701000.0,g/t,0.10,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Platinum,indicated,tonnes,701000.0,g/t,0.87,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Palladium,indicated,tonnes,701000.0,g/t,2.84,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Nickel,inferred,tonnes,72000.0,%,1.42,NSR canadian dollar per tonne,40.0,,Vein Domain
Copper,inferred,tonnes,72000.0,%,1.46,NSR canadian dollar per tonne,40.0,,Vein Domain
Cobalt,inferred,tonnes,72000.0,%,0.07,NSR canadian dollar per tonne,40.0,,Vein Domain
Gold,inferred,tonnes,72000.0,g/t,0.10,NSR canadian dollar per tonne,40.0,,Vein Domain
Platinum,inferred,tonnes,72000.0,g/t,0.52,NSR canadian dollar per tonne,40.0,,Vein Domain
Palladium,inferred,tonnes,72000.0,g/t,2.22,NSR canadian dollar per tonne,40.0,,Vein Domain
Nickel,indicated,tonnes,140000.0,%,1.46,NSR canadian dollar per tonne,40.0,,Vein Domain
Copper,indicated,tonnes,140000.0,%,1.57,NSR canadian dollar per tonne,40.0,,Vein Domain
Cobalt,indicated,tonnes,140000.0,%,0.08,NSR canadian dollar per tonne,40.0,,Vein Domain
Gold,indicated,tonnes,140000.0,g/t,0.09,NSR canadian dollar per tonne,40.0,,Vein Domain
Platinum,indicated,tonnes,140000.0,g/t,0.54,NSR canadian dollar per tonne,40.0,,Vein Domain
Palladium,indicated,tonnes,140000.0,g/t,2.35,NSR canadian dollar per tonne,40.0,,Vein Domain
Nickel,inferred,tonnes,376000.0,%,0.56,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Copper,inferred,tonnes,376000.0,%,0.66,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Cobalt,inferred,tonnes,376000.0,%,0.03,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Gold,inferred,tonnes,376000.0,g/t,0.06,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Platinum,inferred,tonnes,376000.0,g/t,0.24,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Palladium,inferred,tonnes,376000.0,g/t,1.04,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Nickel,indicated,tonnes,7721000.0,%,0.57,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Copper,indicated,tonnes,7721000.0,%,0.62,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Cobalt,indicated,tonnes,7721000.0,%,0.03,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Gold,indicated,tonnes,7721000.0,g/t,0.08,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Platinum,indicated,tonnes,7721000.0,g/t,0.27,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Palladium,indicated,tonnes,7721000.0,g/t,1.21,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Nickel,inferred,tonnes,478000.0,%,0.81,NSR canadian dollar per tonne,40.0,,All Domains
Copper,inferred,tonnes,478000.0,%,0.83,NSR canadian dollar per tonne,40.0,,All Domains
Cobalt,inferred,tonnes,478000.0,%,0.03,NSR canadian dollar per tonne,40.0,,All Domains
Gold,inferred,tonnes,478000.0,g/t,0.13,NSR canadian dollar per tonne,40.0,,All Domains
Platinum,inferred,tonnes,478000.0,g/t,0.28,NSR canadian dollar per tonne,40.0,,All Domains
Palladium,inferred,tonnes,478000.0,g/t,1.37,NSR canadian dollar per tonne,40.0,,All Domains
Nickel,indicated,tonnes,8562000.0,%,0.76,NSR canadian dollar per tonne,40.0,,All Domains
Copper,indicated,tonnes,8562000.0,%,0.76,NSR canadian dollar per tonne,40.0,,All Domains
Cobalt,indicated,tonnes,8562000.0,%,0.03,NSR canadian dollar per tonne,40.0,,All Domains
Gold,indicated,tonnes,8562000.0,g/t,0.12,NSR canadian dollar per tonne,40.0,,All Domains
Platinum,indicated,tonnes,8562000.0,g/t,0.36,NSR canadian dollar per tonne,40.0,,All Domains
Palladium,indicated,tonnes,8562000.0,g/t,1.36,NSR canadian dollar per tonne,40.0,,All Domains
Nickel,indicated,tonnes,1447000.0,%,0.73,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Copper,indicated,tonnes,1447000.0,%,1.00,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Cobalt,indicated,tonnes,1447000.0,%,0.04,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Gold,indicated,tonnes,1447000.0,g/t,0.21,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Platinum,indicated,tonnes,1447000.0,g/t,0.71,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Palladium,indicated,tonnes,1447000.0,g/t,2.56,NSR canadian dollar per tonne,42.50,,Open Pit Net Textured Sulphide Resource
Nickel,indicated,tonnes,3927000.0,%,0.75,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Copper,indicated,tonnes,3927000.0,%,1.10,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Cobalt,indicated,tonnes,3927000.0,%,0.04,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Gold,indicated,tonnes,3927000.0,g/t,0.23,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Platinum,indicated,tonnes,3927000.0,g/t,0.69,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Palladium,indicated,tonnes,3927000.0,g/t,2.68,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Nickel,inferred,tonnes,3085000.0,%,0.82,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Copper,inferred,tonnes,3085000.0,%,1.12,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Cobalt,inferred,tonnes,3085000.0,%,0.04,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Gold,inferred,tonnes,3085000.0,g/t,0.18,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Platinum,inferred,tonnes,3085000.0,g/t,0.65,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Palladium,inferred,tonnes,3085000.0,g/t,2.57,NSR canadian dollar per tonne,42.50,,Underground Net Textured Sulphide Resource
Nickel,indicated,tonnes,5374000.0,%,0.74,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Copper,indicated,tonnes,5374000.0,%,1.07,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Cobalt,indicated,tonnes,5374000.0,%,0.04,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Gold,indicated,tonnes,5374000.0,g/t,0.23,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Platinum,indicated,tonnes,5374000.0,g/t,0.70,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Palladium,indicated,tonnes,5374000.0,g/t,2.65,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Nickel,inferred,tonnes,3085000.0,%,0.82,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Copper,inferred,tonnes,3085000.0,%,1.12,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Cobalt,inferred,tonnes,3085000.0,%,0.04,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Gold,inferred,tonnes,3085000.0,g/t,0.18,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Platinum,inferred,tonnes,3085000.0,g/t,0.65,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Palladium,inferred,tonnes,3085000.0,g/t,2.57,NSR canadian dollar per tonne,42.50,,Total Net Textured Sulphide Resource
Nickel,indicated,tonnes,303000.0,%,2.87,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Copper,indicated,tonnes,303000.0,%,3.24,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Cobalt,indicated,tonnes,303000.0,%,0.12,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Gold,indicated,tonnes,303000.0,g/t,0.29,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Platinum,indicated,tonnes,303000.0,g/t,1.28,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Palladium,indicated,tonnes,303000.0,g/t,6.02,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Nickel,inferred,tonnes,11000.0,%,3.11,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Copper,inferred,tonnes,11000.0,%,2.94,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Cobalt,inferred,tonnes,11000.0,%,0.12,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Gold,inferred,tonnes,11000.0,g/t,0.18,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Platinum,inferred,tonnes,11000.0,g/t,1.42,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Palladium,inferred,tonnes,11000.0,g/t,5.49,NSR canadian dollar per tonne,40.0,,Massive Sulphide Domain
Nickel,indicated,tonnes,825000.0,%,0.61,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Copper,indicated,tonnes,825000.0,%,0.93,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Cobalt,indicated,tonnes,825000.0,%,0.03,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Gold,indicated,tonnes,825000.0,g/t,0.09,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Platinum,indicated,tonnes,825000.0,g/t,0.41,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Palladium,indicated,tonnes,825000.0,g/t,2.09,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Nickel,inferred,tonnes,30000.0,%,0.55,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Copper,inferred,tonnes,30000.0,%,0.70,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Cobalt,inferred,tonnes,30000.0,%,0.03,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Gold,inferred,tonnes,30000.0,g/t,0.07,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Platinum,inferred,tonnes,30000.0,g/t,0.42,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Palladium,inferred,tonnes,30000.0,g/t,1.94,NSR canadian dollar per tonne,40.0,,Net Textured Sulphide Domain
Nickel,indicated,tonnes,1128000.0,%,1.22,NSR canadian dollar per tonne,40.0,,All Domains
Copper,indicated,tonnes,1128000.0,%,1.55,NSR canadian dollar per tonne,40.0,,All Domains
Cobalt,indicated,tonnes,1128000.0,%,0.05,NSR canadian dollar per tonne,40.0,,All Domains
Gold,indicated,tonnes,1128000.0,g/t,0.15,NSR canadian dollar per tonne,40.0,,All Domains
Platinum,indicated,tonnes,1128000.0,g/t,0.64,NSR canadian dollar per tonne,40.0,,All Domains
Palladium,indicated,tonnes,1128000.0,g/t,3.14,NSR canadian dollar per tonne,40.0,,All Domains
Nickel,inferred,tonnes,41000.0,%,1.24,NSR canadian dollar per tonne,40.0,,All Domains
Copper,inferred,tonnes,41000.0,%,1.30,NSR canadian dollar per tonne,40.0,,All Domains
Cobalt,inferred,tonnes,41000.0,%,0.05,NSR canadian dollar per tonne,40.0,,All Domains
Gold,inferred,tonnes,41000.0,g/t,0.10,NSR canadian dollar per tonne,40.0,,All Domains
Platinum,inferred,tonnes,41000.0,g/t,0.69,NSR canadian dollar per tonne,40.0,,All Domains
Palladium,inferred,tonnes,41000.0,g/t,2.90,NSR canadian dollar per tonne,40.0,,All Domains
Nickel,measured,tonnes,559855.0,%,0.93,NSR canadian dollar per tonne,40.0,,HW Net
Copper,measured,tonnes,559855.0,%,1.10,NSR canadian dollar per tonne,40.0,,HW Net
Cobalt,measured,tonnes,559855.0,%,0.04,NSR canadian dollar per tonne,40.0,,HW Net
Gold,measured,tonnes,559855.0,g/t,0.10,NSR canadian dollar per tonne,40.0,,HW Net
Platinum,measured,tonnes,559855.0,g/t,0.60,NSR canadian dollar per tonne,40.0,,HW Net
Palladium,measured,tonnes,559855.0,g/t,2.66,NSR canadian dollar per tonne,40.0,,HW Net
Nickel,indicated,tonnes,102754.0,%,3.72,NSR canadian dollar per tonne,40.0,,HW Massive
Copper,indicated,tonnes,102754.0,%,2.01,NSR canadian dollar per tonne,40.0,,HW Massive
Cobalt,indicated,tonnes,102754.0,%,0.15,NSR canadian dollar per tonne,40.0,,HW Massive
Gold,indicated,tonnes,102754.0,g/t,0.11,NSR canadian dollar per tonne,40.0,,HW Massive
Platinum,indicated,tonnes,102754.0,g/t,1.34,NSR canadian dollar per tonne,40.0,,HW Massive
Palladium,indicated,tonnes,102754.0,g/t,3.27,NSR canadian dollar per tonne,40.0,,HW Massive
Nickel,indicated,tonnes,2726347.0,%,0.80,NSR canadian dollar per tonne,40.0,,HW Net
Copper,indicated,tonnes,2726347.0,%,1.04,NSR canadian dollar per tonne,40.0,,HW Net
Cobalt,indicated,tonnes,2726347.0,%,0.04,NSR canadian dollar per tonne,40.0,,HW Net
Gold,indicated,tonnes,2726347.0,g/t,0.12,NSR canadian dollar per tonne,40.0,,HW Net
Platinum,indicated,tonnes,2726347.0,g/t,0.51,NSR canadian dollar per tonne,40.0,,HW Net
Palladium,indicated,tonnes,2726347.0,g/t,2.28,NSR canadian dollar per tonne,40.0,,HW Net
Nickel,indicated,tonnes,183706.0,%,1.89,NSR canadian dollar per tonne,40.0,,HW Vein
Copper,indicated,tonnes,183706.0,%,3.35,NSR canadian dollar per tonne,40.0,,HW Vein
Cobalt,indicated,tonnes,183706.0,%,0.08,NSR canadian dollar per tonne,40.0,,HW Vein
Gold,indicated,tonnes,183706.0,g/t,0.08,NSR canadian dollar per tonne,40.0,,HW Vein
Platinum,indicated,tonnes,183706.0,g/t,0.69,NSR canadian dollar per tonne,40.0,,HW Vein
Palladium,indicated,tonnes,183706.0,g/t,3.58,NSR canadian dollar per tonne,40.0,,HW Vein
Nickel,indicated,tonnes,9769.0,%,0.90,NSR canadian dollar per tonne,40.0,,HW Cu
Copper,indicated,tonnes,9769.0,%,6.03,NSR canadian dollar per tonne,40.0,,HW Cu
Cobalt,indicated,tonnes,9769.0,%,0.05,NSR canadian dollar per tonne,40.0,,HW Cu
Gold,indicated,tonnes,9769.0,g/t,0.21,NSR canadian dollar per tonne,40.0,,HW Cu
Platinum,indicated,tonnes,9769.0,g/t,0.81,NSR canadian dollar per tonne,40.0,,HW Cu
Palladium,indicated,tonnes,9769.0,g/t,2.25,NSR canadian dollar per tonne,40.0,,HW Cu
Nickel,indicated,tonnes,28202.0,%,3.47,NSR canadian dollar per tonne,40.0,,FW Massive
Copper,indicated,tonnes,28202.0,%,1.56,NSR canadian dollar per tonne,40.0,,FW Massive
