,Unnamed: 0,id,prediction,top1,top1_p,top2,top2_p,top3,top3_p,top4,top4_p,top5,top5_p,top1_id,top2_id,top3_id,top4_id,top5_id
10,121,4530692_2B25ZHSE_I8JS7N87,"1. Porphyry copper ± gold, p=0.1470
2. Orogenic copper ± gold, p=0.1415
3. Porphyry gold ± copper, p=0.1192
4. Porphyry copper-molybdenum, p=0.0358
5. U-M intrusion nickel-copper-PGE, p=0.0284
",Porphyry copper ± gold,0.1469527333974838,Orogenic copper ± gold,0.1415491998195648,Porphyry gold ± copper,0.1191973313689231,Porphyry copper-molybdenum,0.0357609577476978,U-M intrusion nickel-copper-PGE,0.028367843478918,153,92,155,154,180
11,139,4530692_2CHRX9U9_FF4RAU7J,"1. U-M intrusion nickel-copper-PGE, p=0.1161
2. U-M layered intrusion PGE, p=0.0861
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0823
4. U-M layered intrusion nickel-copper-PGE, p=0.0822
5. Komatiite nickel-copper-PGE, p=0.0532
",U-M intrusion nickel-copper-PGE,0.1160822436213493,U-M layered intrusion PGE,0.0860900729894638,Arc U-M intru-sion nickel-copper-PGE,0.0823260769248008,U-M layered intrusion nickel-copper-PGE,0.0822318643331527,Komatiite nickel-copper-PGE,0.053152535110712,180,178,185,177,175
12,141,4530692_2CTPKI6V_FCP8R34T,"1. U-M intrusion nickel-copper-PGE, p=0.1938
2. Arc U-M intru-sion nickel-copper-PGE, p=0.0676
3. Anorthosite conduit nickel-copper-PGE, p=0.0648
4. U-M layered intrusion nickel-copper-PGE, p=0.0643
5. Ophiolite nickel-copper-PGE, p=0.0562
",U-M intrusion nickel-copper-PGE,0.1937528103590011,Arc U-M intru-sion nickel-copper-PGE,0.0676183328032493,Anorthosite conduit nickel-copper-PGE,0.0648203790187835,U-M layered intrusion nickel-copper-PGE,0.0642616599798202,Ophiolite nickel-copper-PGE,0.0562158152461051,180,185,187,177,183
13,142,4530692_2CWVSIE2_EW59ZUNV,"1. Orogenic copper ± gold, p=0.0721
2. Porphyry copper ± gold, p=0.0692
3. Supergene copper, p=0.0500
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0500
5. Porphyry gold ± copper, p=0.0442
",Orogenic copper ± gold,0.0721044242382049,Porphyry copper ± gold,0.0692222863435745,Supergene copper,0.0499901995062828,Arc U-M intru-sion nickel-copper-PGE,0.0499851889908313,Porphyry gold ± copper,0.0442137457430362,92,153,30,185,155
14,156,4530692_2EIM37QD_D3C8V5WM,"1. U-M intrusion nickel-copper-PGE, p=0.1466
2. U-M layered intrusion nickel-copper-PGE, p=0.1179
3. Impact U-M intrusion nickel-copper-PGE, p=0.0941
4. Anorthosite conduit nickel-copper-PGE, p=0.0699
5. Ophiolite nickel-copper-PGE, p=0.0532
",U-M intrusion nickel-copper-PGE,0.1466452777385711,U-M layered intrusion nickel-copper-PGE,0.1179289072751998,Impact U-M intrusion nickel-copper-PGE,0.0940750390291214,Anorthosite conduit nickel-copper-PGE,0.0699285864830017,Ophiolite nickel-copper-PGE,0.0532381162047386,180,177,188,187,183
15,178,4530692_2G5348DK_9T6TI9KD,"1. U-M conduit nickel-copper-PGE, p=0.0653
2. Laterite nickel, p=0.0550
3. Black shale va-nadium ± Mo ± Ni, p=0.0508
4. Low Iron alkali-calcic, p=0.0507
5. Nodular magnesite, p=0.0341
",U-M conduit nickel-copper-PGE,0.0653258636593818,Laterite nickel,0.0550190545618534,Black shale va-nadium ± Mo ± Ni,0.0508035011589527,Low Iron alkali-calcic,0.0507328100502491,Nodular magnesite,0.0341480784118175,181,18,56,96,39
16,194,4530692_2H5V7QVF_D4W9AXCB,"1. Komatiite nickel-copper-PGE, p=0.1537
2. Arc U-M intru-sion nickel-copper-PGE, p=0.0703
3. U-M intrusion nickel-copper-PGE, p=0.0463
4. U-M layered intrusion nickel-copper-PGE, p=0.0383
5. Anorthosite conduit nickel-copper-PGE, p=0.0355
",Komatiite nickel-copper-PGE,0.153690218925476,Arc U-M intru-sion nickel-copper-PGE,0.0703309625387191,U-M intrusion nickel-copper-PGE,0.0463280007243156,U-M layered intrusion nickel-copper-PGE,0.0382942967116832,Anorthosite conduit nickel-copper-PGE,0.035488698631525,175,185,180,177,187
17,206,4530692_2HWBFS9H_UPT7Q8RQ,"1. U-M intrusion nickel-copper-PGE, p=0.0545
2. U-M layered intrusion chromium, p=0.0537
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0439
4. U-M conduit nickel-copper-PGE, p=0.0367
5. Ophiolite chro-mium, p=0.0365
",U-M intrusion nickel-copper-PGE,0.0545373223721981,U-M layered intrusion chromium,0.0536636225879192,Arc U-M intru-sion nickel-copper-PGE,0.0438909456133842,U-M conduit nickel-copper-PGE,0.03668699786067,Ophiolite chro-mium,0.0365082509815692,180,176,185,181,182
18,214,4530692_2IHFCCZR_KNBQDFZM,"1. Bimodal-mafic VMS, p=0.0960
2. Bimodal felsic VMS, p=0.0676
3. U-M intrusion nickel-copper-PGE, p=0.0509
4. Felsic-siliciclastic VMS, p=0.0484
5. Mesozonal orogenic gold, p=0.0482
",Bimodal-mafic VMS,0.0960136353969574,Bimodal felsic VMS,0.0675929933786392,U-M intrusion nickel-copper-PGE,0.0509447827935218,Felsic-siliciclastic VMS,0.0484010763466358,Mesozonal orogenic gold,0.0482486486434936,110,111,180,112,87
19,216,4530692_2IN7G4JV_9JXQ8II3,"1. Laterite nickel, p=0.0796
2. Black shale nickel ± Mo-PGE, p=0.0478
3. Nodular magnesite, p=0.0439
4. U-M intrusion nickel-copper-PGE, p=0.0423
5. Vein ± replacement nickel, p=0.0404
",Laterite nickel,0.0796024650335311,Black shale nickel ± Mo-PGE,0.047803159803152,Nodular magnesite,0.0439113639295101,U-M intrusion nickel-copper-PGE,0.0423171333968639,Vein ± replacement nickel,0.0403672195971012,18,57,39,180,122
20,224,4530692_2J2NETHB_HAGCVWD8,"1. U-M layered intrusion nickel-copper-PGE, p=0.0621
2. U-M intrusion nickel-copper-PGE, p=0.0575
3. Anorthosite conduit nickel-copper-PGE, p=0.0355
4. Impact U-M intrusion nickel-copper-PGE, p=0.0324
5. Komatiite nickel-copper-PGE, p=0.0316
",U-M layered intrusion nickel-copper-PGE,0.0620849318802356,U-M intrusion nickel-copper-PGE,0.0575476437807083,Anorthosite conduit nickel-copper-PGE,0.0354682952165603,Impact U-M intrusion nickel-copper-PGE,0.0324308909475803,Komatiite nickel-copper-PGE,0.0316107720136642,177,180,187,188,175
21,263,4530692_2N6HHG4B_V46J2PI6,"1. Komatiite nickel-copper-PGE, p=0.0592
2. Ophiolite nickel-copper-PGE, p=0.0584
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0468
4. Paleoplacer gold ± uranium, p=0.0460
5. U-M intrusion nickel-copper-PGE, p=0.0406
",Komatiite nickel-copper-PGE,0.0592451728880405,Ophiolite nickel-copper-PGE,0.0583714582026004,Arc U-M intru-sion nickel-copper-PGE,0.0468131639063358,Paleoplacer gold ± uranium,0.0459828227758407,U-M intrusion nickel-copper-PGE,0.0405779331922531,175,183,185,15,180
22,273,4530692_2P29BJHV_9MFP4ACT,"1. U-M layered intrusion PGE, p=0.1368
2. U-M layered intrusion nickel-copper-PGE, p=0.0803
3. Porphyry gold ± copper, p=0.0692
4. Fluvial placer PGE, p=0.0647
5. U-M intrusion nickel-copper-PGE, p=0.0592
",U-M layered intrusion PGE,0.1368081271648407,U-M layered intrusion nickel-copper-PGE,0.0803135633468627,Porphyry gold ± copper,0.0692118257284164,Fluvial placer PGE,0.0647214353084564,U-M intrusion nickel-copper-PGE,0.0591780208051204,178,177,155,3,180
23,300,4530692_2QW4K65V_HWBZZJCW,"1. U-M intrusion nickel-copper-PGE, p=0.1819
2. Komatiite nickel-copper-PGE, p=0.0679
3. U-M layered intrusion nickel-copper-PGE, p=0.0592
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0564
5. Vein ± replacement nickel, p=0.0540
",U-M intrusion nickel-copper-PGE,0.1819388270378112,Komatiite nickel-copper-PGE,0.0679270029067993,U-M layered intrusion nickel-copper-PGE,0.0591664314270019,Arc U-M intru-sion nickel-copper-PGE,0.0564015805721282,Vein ± replacement nickel,0.0540258511900901,180,175,177,185,122
24,308,4530692_2RD84XWA_8FIN2XPW,"1. Magnetite-dominant IOCG, p=0.1174
2. U-M intrusion nickel-copper-PGE, p=0.1140
3. Hematite-dominant IOCG, p=0.0787
4. U-M conduit nickel-copper-PGE, p=0.0576
5. Arc U-M intru-sion nickel-copper-PGE, p=0.0546
",Magnetite-dominant IOCG,0.1173770800232887,U-M intrusion nickel-copper-PGE,0.1140371486544609,Hematite-dominant IOCG,0.0786788091063499,U-M conduit nickel-copper-PGE,0.0575520321726799,Arc U-M intru-sion nickel-copper-PGE,0.054573617875576,105,180,104,181,185
25,334,4530692_2TSU2PNN_C9Z3NNS9,"1. U-M intrusion nickel-copper-PGE, p=0.1405
2. Arc U-M intru-sion nickel-copper-PGE, p=0.0830
3. U-M layered intrusion nickel-copper-PGE, p=0.0807
4. Ophiolite nickel-copper-PGE, p=0.0598
5. U-M conduit nickel-copper-PGE, p=0.0596
",U-M intrusion nickel-copper-PGE,0.1405282765626907,Arc U-M intru-sion nickel-copper-PGE,0.0830460116267204,U-M layered intrusion nickel-copper-PGE,0.0806875303387641,Ophiolite nickel-copper-PGE,0.0597967468202114,U-M conduit nickel-copper-PGE,0.0595900379121303,180,185,177,183,181
26,337,4530692_2TZXW6WT_7XUD92WP,"1. Paleoplacer gold ± uranium, p=0.0559
2. U-M intrusion nickel-copper-PGE, p=0.0551
3. Mesozonal orogenic gold, p=0.0537
4. Algoma-type banded iron formation, p=0.0503
5. Hypozonal orogenic gold, p=0.0470
",Paleoplacer gold ± uranium,0.0559184066951274,U-M intrusion nickel-copper-PGE,0.0551276765763759,Mesozonal orogenic gold,0.0536958053708076,Algoma-type banded iron formation,0.0503188297152519,Hypozonal orogenic gold,0.0470421314239501,15,180,87,113,86
27,338,4530692_2U3MC7QX_H2HTM85R,"1. U-M intrusion nickel-copper-PGE, p=0.0899
2. Arc U-M intru-sion nickel-copper-PGE, p=0.0695
3. U-M layered intrusion nickel-copper-PGE, p=0.0515
4. Komatiite nickel-copper-PGE, p=0.0408
5. Anorthosite conduit nickel-copper-PGE, p=0.0379
",U-M intrusion nickel-copper-PGE,0.0898719578981399,Arc U-M intru-sion nickel-copper-PGE,0.0694504827260971,U-M layered intrusion nickel-copper-PGE,0.0514601022005081,Komatiite nickel-copper-PGE,0.0408302657306194,Anorthosite conduit nickel-copper-PGE,0.0379463620483875,180,185,177,175,187
28,344,4530692_2UGWUA84_22PBFFEP,"1. Komatiite nickel-copper-PGE, p=0.1460
2. U-M intrusion nickel-copper-PGE, p=0.0719
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0559
4. Algoma-type banded iron formation, p=0.0339
5. Ferroan carbonate polymetallic, p=0.0319
",Komatiite nickel-copper-PGE,0.145978569984436,U-M intrusion nickel-copper-PGE,0.0719374492764473,Arc U-M intru-sion nickel-copper-PGE,0.0558707080781459,Algoma-type banded iron formation,0.0338606648147106,Ferroan carbonate polymetallic,0.0319082699716091,175,180,185,113,98
29,360,4530692_2VRTTQAI_3ZBWU9XG,"1. U-M layered intrusion nickel-copper-PGE, p=0.0825
2. U-M intrusion nickel-copper-PGE, p=0.0669
3. Anorthosite conduit nickel-copper-PGE, p=0.0644
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0586
5. Vein ± replacement nickel, p=0.0579
",U-M layered intrusion nickel-copper-PGE,0.0824854895472526,U-M intrusion nickel-copper-PGE,0.0669378787279129,Anorthosite conduit nickel-copper-PGE,0.0643810257315635,Arc U-M intru-sion nickel-copper-PGE,0.0585780777037143,Vein ± replacement nickel,0.0579090565443038,177,180,187,185,122
30,363,4530692_2W6IKJP7_QU22RWGQ,"1. U-M layered intrusion nickel-copper-PGE, p=0.1334
2. U-M intrusion nickel-copper-PGE, p=0.1101
3. Vein ± replacement nickel, p=0.0586
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0460
5. Ophiolite nickel-copper-PGE, p=0.0428
",U-M layered intrusion nickel-copper-PGE,0.1333943456411361,U-M intrusion nickel-copper-PGE,0.110128067433834,Vein ± replacement nickel,0.0586468987166881,Arc U-M intru-sion nickel-copper-PGE,0.0459638051688671,Ophiolite nickel-copper-PGE,0.0428012311458587,177,180,122,185,183
31,364,4530692_2W7X9TQF_6884EQN7,"1. Ophiolite nickel-copper-PGE, p=0.0789
2. Fluvial placer PGE, p=0.0560
3. Porphyry gold ± copper, p=0.0552
4. U-M intrusion nickel-copper-PGE, p=0.0486
5. Arc U-M intru-sion nickel-copper-PGE, p=0.0466
",Ophiolite nickel-copper-PGE,0.0789299234747886,Fluvial placer PGE,0.0560268238186836,Porphyry gold ± copper,0.0551519952714443,U-M intrusion nickel-copper-PGE,0.0485551729798316,Arc U-M intru-sion nickel-copper-PGE,0.0466082021594047,183,3,155,180,185
32,365,4530692_2W9NV5ZM_RI25E7IU,"1. Ophiolite nickel-copper-PGE, p=0.1213
2. U-M intrusion nickel-copper-PGE, p=0.1010
3. Laterite nickel, p=0.0927
4. U-M layered intrusion nickel-copper-PGE, p=0.0690
5. Komatiite nickel-copper-PGE, p=0.0408
",Ophiolite nickel-copper-PGE,0.1213319450616836,U-M intrusion nickel-copper-PGE,0.1009570732712745,Laterite nickel,0.0926522761583328,U-M layered intrusion nickel-copper-PGE,0.0689943879842758,Komatiite nickel-copper-PGE,0.0408016964793205,183,180,18,177,175
33,381,4530692_2WXTG3DZ_R8H6VZNP,"1. U-M intrusion nickel-copper-PGE, p=0.1092
2. Ophiolite nickel-copper-PGE, p=0.0762
3. Komatiite nickel-copper-PGE, p=0.0753
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0498
5. U-M conduit nickel-copper-PGE, p=0.0365
",U-M intrusion nickel-copper-PGE,0.1092285141348838,Ophiolite nickel-copper-PGE,0.0761712491512298,Komatiite nickel-copper-PGE,0.075336255133152,Arc U-M intru-sion nickel-copper-PGE,0.0497893430292606,U-M conduit nickel-copper-PGE,0.0364574566483497,180,183,175,185,181
34,412,4530692_2ZQGQCNS_8R2ZUSBF,"1. U-M intrusion nickel-copper-PGE, p=0.0833
2. Anorthosite conduit nickel-copper-PGE, p=0.0745
3. Vein ± replacement nickel, p=0.0649
4. Komatiite nickel-copper-PGE, p=0.0606
5. U-M layered intrusion nickel-copper-PGE, p=0.0563
",U-M intrusion nickel-copper-PGE,0.083251304924488,Anorthosite conduit nickel-copper-PGE,0.0744696408510208,Vein ± replacement nickel,0.0648810267448425,Komatiite nickel-copper-PGE,0.0606018304824829,U-M layered intrusion nickel-copper-PGE,0.056331705302,180,187,122,175,177
35,415,4530692_323EKPIA_A6JP9AP9,"1. U-M intrusion nickel-copper-PGE, p=0.0661
2. Magnetite-dominant IOCG, p=0.0376
3. Ophiolite nickel-copper-PGE, p=0.0359
4. Metamorphic graphite, p=0.0329
5. Bimodal-mafic VMS, p=0.0316
",U-M intrusion nickel-copper-PGE,0.0660770833492279,Magnetite-dominant IOCG,0.0375931151211261,Ophiolite nickel-copper-PGE,0.0359449684619903,Metamorphic graphite,0.0329046174883842,Bimodal-mafic VMS,0.0315689221024513,180,105,183,94,110
36,418,4530692_325G289V_R8GHUZIN,"1. U-M intrusion nickel-copper-PGE, p=0.1343
2. Ophiolite nickel-copper-PGE, p=0.0697
3. U-M layered intrusion PGE, p=0.0668
4. U-M conduit nickel-copper-PGE, p=0.0641
5. U-M layered intrusion nickel-copper-PGE, p=0.0623
",U-M intrusion nickel-copper-PGE,0.1343052834272384,Ophiolite nickel-copper-PGE,0.069722756743431,U-M layered intrusion PGE,0.0667518004775047,U-M conduit nickel-copper-PGE,0.0641199648380279,U-M layered intrusion nickel-copper-PGE,0.0623172596096992,180,183,178,181,177
37,478,4530692_36EGRAGW_X54DIERS,"1. U-M intrusion nickel-copper-PGE, p=0.1143
2. Fluvial placer niobium-tantalum, p=0.0571
3. MVT zinc-lead, p=0.0396
4. Orogenic copper ± gold, p=0.0376
5. U-M layered intrusion nickel-copper-PGE, p=0.0366
",U-M intrusion nickel-copper-PGE,0.114274613559246,Fluvial placer niobium-tantalum,0.0570509806275367,MVT zinc-lead,0.0395922400057315,Orogenic copper ± gold,0.0375645458698272,U-M layered intrusion nickel-copper-PGE,0.036560907959938,180,5,79,92,177
38,479,4530692_36FC9I99_6PHTW9AC,"1. Impact U-M intrusion nickel-copper-PGE, p=0.0826
2. U-M intrusion nickel-copper-PGE, p=0.0500
3. Porphyry gold ± copper, p=0.0413
4. Felsic-siliciclastic VMS, p=0.0354
5. U-M layered intrusion nickel-copper-PGE, p=0.0344
",Impact U-M intrusion nickel-copper-PGE,0.0825942009687423,U-M intrusion nickel-copper-PGE,0.0499705597758293,Porphyry gold ± copper,0.0412979125976562,Felsic-siliciclastic VMS,0.0353808216750621,U-M layered intrusion nickel-copper-PGE,0.0344438217580318,188,180,155,112,177
39,491,4530692_379SAWRK_9NVVKFH8,"1. Mafic-siliciclastic VMS, p=0.1682
2. Bimodal-mafic VMS, p=0.1462
3. Bimodal felsic VMS, p=0.0852
4. Felsic-siliciclastic VMS, p=0.0484
5. Anorthosite conduit nickel-copper-PGE, p=0.0373
",Mafic-siliciclastic VMS,0.1682282090187072,Bimodal-mafic VMS,0.1462299525737762,Bimodal felsic VMS,0.0852265432476997,Felsic-siliciclastic VMS,0.0483965575695037,Anorthosite conduit nickel-copper-PGE,0.0372768379747867,109,110,111,112,187
40,493,4530692_37B6UHNP_QXT36KUF,"1. Komatiite nickel-copper-PGE, p=0.2324
2. U-M intrusion nickel-copper-PGE, p=0.0582
3. U-M conduit nickel-copper-PGE, p=0.0454
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0452
5. Vein ± replacement nickel, p=0.0374
",Komatiite nickel-copper-PGE,0.2324486225843429,U-M intrusion nickel-copper-PGE,0.0582161210477352,U-M conduit nickel-copper-PGE,0.0453840643167495,Arc U-M intru-sion nickel-copper-PGE,0.0451772436499595,Vein ± replacement nickel,0.037369005382061,175,180,181,185,122
41,495,4530692_37GKTIVB_4CJJP9RN,"1. U-M intrusion nickel-copper-PGE, p=0.0944
2. Magnetite-dominant IOCG, p=0.0547
3. Algoma-type banded iron formation, p=0.0457
4. Hematite-dominant IOCG, p=0.0440
5. U-M layered intrusion nickel-copper-PGE, p=0.0434
",U-M intrusion nickel-copper-PGE,0.0943695530295372,Magnetite-dominant IOCG,0.0546612106263637,Algoma-type banded iron formation,0.0457043386995792,Hematite-dominant IOCG,0.0439812242984771,U-M layered intrusion nickel-copper-PGE,0.0433892495930194,180,105,113,104,177
42,505,4530692_388PXDKH_K48TI5SQ,"1. U-M layered intrusion PGE, p=0.1714
2. U-M layered intrusion nickel-copper-PGE, p=0.1128
3. Fluvial placer PGE, p=0.0847
4. U-M intrusion nickel-copper-PGE, p=0.0742
5. Porphyry gold ± copper, p=0.0358
",U-M layered intrusion PGE,0.171406477689743,U-M layered intrusion nickel-copper-PGE,0.1128169745206832,Fluvial placer PGE,0.084674172103405,U-M intrusion nickel-copper-PGE,0.0741982534527778,Porphyry gold ± copper,0.0358204469084739,178,177,3,180,155
43,507,4530692_38HN9NTC_W3HXDQXN,"1. Supergene zinc, p=0.0794
2. Bimodal-mafic VMS, p=0.0478
3. U-M intrusion nickel-copper-PGE, p=0.0473
4. Felsic-siliciclastic VMS, p=0.0460
5. U-M conduit nickel-copper-PGE, p=0.0440
",Supergene zinc,0.0793840736150741,Bimodal-mafic VMS,0.0477767065167427,U-M intrusion nickel-copper-PGE,0.0473194569349288,Felsic-siliciclastic VMS,0.0459646545350551,U-M conduit nickel-copper-PGE,0.0440212748944759,29,110,180,112,181
44,517,4530692_39A5RR4B_3AWRQ6BV,"1. Ophiolite nickel-copper-PGE, p=0.0786
2. Felsic-siliciclastic VMS, p=0.0772
3. U-M intrusion nickel-copper-PGE, p=0.0731
4. Anorthosite conduit nickel-copper-PGE, p=0.0576
5. Vein ± replacement nickel, p=0.0571
",Ophiolite nickel-copper-PGE,0.0785809606313705,Felsic-siliciclastic VMS,0.0772178471088409,U-M intrusion nickel-copper-PGE,0.0731049329042434,Anorthosite conduit nickel-copper-PGE,0.0576387643814086,Vein ± replacement nickel,0.057134959846735,183,112,180,187,122
45,532,4530692_3A9H5TKB_H3TPRDXS,"1. Anorthosite conduit nickel-copper-PGE, p=0.0776
2. U-M layered intrusion nickel-copper-PGE, p=0.0689
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0587
4. U-M intrusion nickel-copper-PGE, p=0.0571
5. Ophiolite nickel-copper-PGE, p=0.0485
",Anorthosite conduit nickel-copper-PGE,0.0776327550411224,U-M layered intrusion nickel-copper-PGE,0.0688697472214698,Arc U-M intru-sion nickel-copper-PGE,0.0586677528917789,U-M intrusion nickel-copper-PGE,0.0570582710206508,Ophiolite nickel-copper-PGE,0.0484896227717399,187,177,185,180,183
46,535,4530692_3AFA6EIH_4IE32SCA,"1. Kimberlite diamond, p=0.1329
2. Fluvial placer diamond, p=0.0563
3. Carbonatite laterite REE, p=0.0484
4. Ophiolite nickel-copper-PGE, p=0.0430
5. U-M intrusion nickel-copper-PGE, p=0.0387
",Kimberlite diamond,0.1328635513782501,Fluvial placer diamond,0.0563429594039917,Carbonatite laterite REE,0.0484382696449756,Ophiolite nickel-copper-PGE,0.0430126525461673,U-M intrusion nickel-copper-PGE,0.0387199446558952,174,8,19,183,180
